Pot Structure RMS RMS2
04_GAP-18C_nsp_9000 mp-149 0.06371641859805369 0.06371641859805369
04_GAP-18C_nsp_9000 oS24 0.09354719353006397 0.09354719353006397
04_GAP-18C_nsp_9000 Clathrate-1 0.045674363413781546 0.045674363413781546
04_GAP-18C_nsp_9000_onlydisp mp-149 0.05736855809627458 0.05736855809627458
04_GAP-18C_nsp_9000_onlydisp oS24 0.11437467241067056 0.11437467241067056
04_GAP-18C_nsp_9000_onlydisp Clathrate-1 0.07666223991004682 0.07666223991004682
04_GAP-18C_nsp_9000_3000_fas_0.0010 mp-149 0.05705510945377193 0.05705510945377193
04_GAP-18C_nsp_9000_3000_fas_0.0010 oS24 0.09358019913636571 0.09358019913636571
04_GAP-18C_nsp_9000_3000_fas_0.0010 Clathrate-1 0.06357147826346181 0.06357147826346181
04_GAP-18C_nsp_9000_3000_fas_0.0100 mp-149 0.13959838676248915 0.13959838676248915
04_GAP-18C_nsp_9000_3000_fas_0.0100 oS24 0.11529042870958969 0.11529042870958969
04_GAP-18C_nsp_9000_3000_fas_0.0100 Clathrate-1 0.06205181806500884 0.06205181806500884
