Pot Structure RMS2 Mean_absolute_perc_error
04_GAP-18C_nsp_9000 mp-149 0.06371653032996377 0.011471357033862229
04_GAP-18C_nsp_9000 oS24 0.09354713353438476 0.010821907861372132
04_GAP-18C_nsp_9000 Clathrate-1 0.04567438016463588 0.005977979203316922
04_GAP-18C_nsp_9000_onlydisp mp-149 0.057368492312231366 0.010979631990399929
04_GAP-18C_nsp_9000_onlydisp oS24 0.11437475432043201 0.014058432264954223
04_GAP-18C_nsp_9000_onlydisp Clathrate-1 0.0766622951381209 0.010226369798035189
04_GAP-18C_nsp_9000_3000_fas_0.0010 mp-149 0.057055141609062734 0.01128347688908027
04_GAP-18C_nsp_9000_3000_fas_0.0010 oS24 0.09358000694686426 0.011545148003433392
04_GAP-18C_nsp_9000_3000_fas_0.0010 Clathrate-1 0.06357115625277751 0.00835800326364803
04_GAP-18C_nsp_9000_3000_fas_0.0100 mp-149 0.1395983739589627 0.02227899058904487
04_GAP-18C_nsp_9000_3000_fas_0.0100 oS24 0.1152904335766429 0.014611024639119919
04_GAP-18C_nsp_9000_3000_fas_0.0100 Clathrate-1 0.06205184486076148 0.007348085699503067
06_GAP-18C_wrnd_nsp_9000_3000_0.0100 mp-149 0.14965102117834964 0.021818561852125672
06_GAP-18C_wrnd_nsp_9000_3000_0.0100 oS24 0.1415582316337152 0.018384327318258183
06_GAP-18C_wrnd_nsp_9000_3000_0.0100 Clathrate-1 0.08407646096481544 0.011211842898202823
06_GAP-18C_wrnd_nsp_9000_3000_0.0010 mp-149 0.05565610081408158 0.009644273022137908
06_GAP-18C_wrnd_nsp_9000_3000_0.0010 oS24 0.08884186449570755 0.010566161467143625
06_GAP-18C_wrnd_nsp_9000_3000_0.0010 Clathrate-1 0.03811265337139809 0.005325731757897585
